"Splunk_Instance","Splunk_Roles",app,title,disabled,sharing,author,type,description,source,sourcetype,index,location,acceleration,whitelist,blacklist,crcSalt,interval
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","$SPLUNK_HOME/var/spool/splunk/...stash_common_action_model",0,app,system,monitor,,,"stash_common_action_model",main,"/data/inputs/monitor",,,,"<SOURCE>",
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","$SPLUNK_HOME\var\spool\splunk\...stash_common_action_model",0,app,system,monitor,,,"stash_common_action_model",main,"/data/inputs/monitor",,,,"<SOURCE>",
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/Library/Logs",1,app,system,monitor,,,,main,"/data/inputs/monitor",,,,,
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/etc",1,app,system,monitor,,,,main,"/data/inputs/monitor",,"(\.conf|\.cfg|config$|\.ini|\.init|\.cf|\.cnf|shrc$|^ifcfg|\.profile|\.rc|\.rules|\.tab|tab$|\.login|policy$)",,,
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/home/*/.bash_history",1,app,system,monitor,,,"bash_history",main,"/data/inputs/monitor",,,,,
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/bandwidth.sh",1,app,system,script,,bandwidth,bandwidth,main,"/data/inputs/script",,,,,60
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/cpu.sh",1,app,system,script,,cpu,cpu,main,"/data/inputs/script",,,,,30
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/df.sh",1,app,system,script,,df,df,main,"/data/inputs/script",,,,,300
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/hardware.sh",1,app,system,script,,hardware,hardware,main,"/data/inputs/script",,,,,36000
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","/opt/splunk/etc/apps/Splunk_TA_nix/bin/interfaces.sh",1,app,system,script,,interfaces,interfaces,main,"/data/inputs/script",,,,,60
