"Splunk_Instance","Splunk_Roles",title,definition,args,app,sharing,author,description
CM1,"PROD-CM-1|cluster_master|search_head","add_dm_object_name(1)","rename * as ""$object$.*""",object,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cam_action_modes","inputlookup append=T cam_action_mode_lookup | eval action_mode=lower(action_mode) | dedup action_mode | sort + action_mode",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cam_action_statuses","inputlookup append=T cam_action_status_lookup | eval action_status=lower(action_status) | dedup action_status | sort + action_status",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cam_categories","inputlookup append=T cam_category_lookup | dedup category | sort + category",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cam_subjects","inputlookup append=T cam_subject_lookup | eval subject=lower(subject) | dedup subject | sort + subject",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cam_tasks","inputlookup append=T cam_task_lookup | eval task=lower(task) | dedup task | sort + task",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cam_workers","inputlookup append=T cam_worker_lookup | append[| makeresults | eval worker_set=""local"",cam_workers=""[\""local\""]""] | dedup worker_set | spath input=cam_workers | where isnotnull('{}') | table worker_set,cam_workers | sort + worker_set",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Alerts_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Application_State_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Authentication_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Certificates_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Change_Analysis_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Change_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Compute_Inventory_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_DLP_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Databases_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Email_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Endpoint_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Event_Signatures_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Interprocess_Messaging_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Intrusion_Detection_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_JVM_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Malware_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Network_Resolution_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Network_Sessions_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Network_Traffic_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Performance_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Ticket_Management_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Updates_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Vulnerabilities_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_Web_indexes","()",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_access_actions","inputlookup append=T cim_access_action_lookup | eval action=lower(action) | dedup action",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_corporate_email_domain_search(1)","[| `cim_corporate_email_domains` | rename domain as $field$ | format | fields search]",field,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_corporate_email_domains","inputlookup append=T cim_corporate_email_domain_lookup",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_corporate_web_domain_search(1)","[| `cim_corporate_web_domains` | rename domain as $field$ | format | fields search]",field,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_corporate_web_domains","inputlookup append=T cim_corporate_web_domain_lookup",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_datamodelinfo","rest /services/admin/summarization by_tstats=t splunk_server=local count=0 | eval key=replace('title',""tstats:DM_"".'eai:acl.app'.""_"",""""),datamodel=replace('summary.id',""DM_"".'eai:acl.app'.""_"","""") | join type=left key [| rest /services/data/models splunk_server=local count=0 | table title acceleration.cron_schedule eai:digest | rename title as key | rename acceleration.cron_schedule AS cron] | table datamodel eai:acl.app summary.access_time summary.is_inprogress summary.size summary.latest_time summary.complete summary.buckets_size summary.buckets cron summary.last_error summary.time_range summary.id summary.mod_time eai:digest summary.earliest_time summary.last_sid summary.access_count | rename summary.id AS summary_id, summary.time_range AS retention, summary.earliest_time as earliest, summary.latest_time as latest, eai:digest as digest | rename summary.* AS *, eai:acl.* AS * | sort datamodel",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_dlp_actions","inputlookup append=T cim_dlp_action_lookup | eval action=lower(action) | dedup action | sort + action",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_dlp_object_categories","inputlookup append=T cim_dlp_object_category_lookup | eval object_category=lower(object_category) | dedup object_category | sort + object_category",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_dlp_types","inputlookup append=T cim_dlp_type_lookup | eval dlp_type=lower(dlp_type) | dedup dlp_type | sort + dlp_type",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_dns_reply_codes","inputlookup append=T cim_dns_reply_code_lookup | dedup reply_code | sort + reply_code",,"Splunk_SA_CIM",global,system,
CM1,"PROD-CM-1|cluster_master|search_head","cim_email_protocols","inputlookup append=T cim_email_protocol_lookup | sort + protocol",,"Splunk_SA_CIM",global,system,
