"Splunk_Instance","Splunk_Roles",app,sharing,stanza,attribute,value,author,type,updated
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM",global,audittrail,"REPORT-1vendor_object_category-vendor_status_for_splunk_endpoint_change","vendor_object_category-vendor_status-for_splunk_endpoint_change",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM",global,audittrail,"REPORT-2vendor_object-vendor_object_path_for_splunk_endpoint_change","vendor_object-vendor_object_path-for_splunk_endpoint_change",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM",global,audittrail,"REPORT-search_for_audittrail","search_for_audittrail",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM",global,"splunk_web_access","REPORT-app-view_for_splunk_web_access","app-view_for_splunk_web_access",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM",global,splunkd,"REPORT-signature_for_sendmodalert","signature_for_sendmodalert",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"aix_secure","REPORT-0authentication_for_aix_secure","ssh-login-events, ssh-session-close, ssh-disconnect, sshd_authentication_kerberos_success, sshd_authentication_refused, sshd_authentication_tried, sshd_login_restricted, pam_unix_authentication_success, pam_unix_authentication_failure, sudo_cannot_identify, ksu_authentication, ksu_authorization, su_simple, su_authentication, su_successful, wksh_authentication, login_authentication",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"aix_secure","REPORT-dest_for_aix_secure","host_as_dest",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"aix_secure","REPORT-signature_for_aix_secure_timesync","signature_for_nix_timesync",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"aix_secure","REPORT-src_for_aix_secure","src_dns_as_src, src_ip_as_src, host_as_src",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"bash_history","REPORT-bhist","bash_user,bash_user_root",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,dhcpd,"REPORT-0dest_x_for_dhcpd","dest_kv_for_dhcpd_ack, dest_kv_for_dhcpd_ack2, dest_kv_for_dhcpd_discover, dest_kv_for_dhcpd_inform, dest_kv_for_dhcpd_nak, dest_kv_for_dhcpd_offer, dest_kv_for_dhcpd_request",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,dhcpd,"REPORT-dest_for_dhcpd","dest_nt_host_as_dest,dest_mac_as_dest,dest_ip_as_dest",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,dhcpd,"REPORT-dvc_for_dhcpd","dvc_for_dhcpd",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,dhcpd,"REPORT-signature_for_dhcpd","signature_for_dhcpd",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"fs_notification","REPORT-object_object_path_for_fs_notification","object_object_path_for_fs_notification",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"fs_notification","REPORT-vendor_object_category_for_fs_notification","vendor_object_category_for_fs_notification",system,"Uses transform","1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,hardware,"EXTRACT-RealMemory","(?i)MEMORY_REAL\s+(?P<RealMemory>[^ ]*)[ ]?",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,hardware,"EXTRACT-SwapMemory","(?i)MEMORY_SWAP\s+(?P<SwapMemory>[^ ]*)[ ]?",system,Inline,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,hardware,"EXTRACT-Unit","(?i)MEMORY_REAL\s+\d+\s+(?P<Unit>\w+)?",system,Inline,"1970-01-01T00:00:00+00:00"
