"Splunk_Instance","Splunk_Roles",app,author,stanza,attribute,value,sharing,updated
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM",system,audittrail,"FIELDALIAS-dest_for_splunk_access","host as dest",global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM",system,audittrail,"FIELDALIAS-file_acl_for_splunk_filesystem_change","mode as file_acl",global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM",system,audittrail,"FIELDALIAS-file_name_for_splunk_filesystem_change","vendor_object as file_name",global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM",system,audittrail,"FIELDALIAS-file_path_for_splunk_filesystem_change","vendor_object_path as file_path",global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM",system,audittrail,"FIELDALIAS-file_size_for_splunk_filesystem_change","size as file_size",global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM",system,audittrail,"FIELDALIAS-object_attrs_for_splunk_endpoint_change","chgs as object_attrs",global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM",system,audittrail,"FIELDALIAS-object_for_splunk_endpoint_change","vendor_object as object",global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM",system,audittrail,"FIELDALIAS-object_path_for_splunk_endpoint_change","vendor_object_path as object_path",global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM",system,audittrail,"FIELDALIAS-status_for_splunk_endpoint_change","vendor_status as status",global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM",system,audittrail,"FIELDALIAS-user_id_for_splunk_endpoint_change","uid as user_id",global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",system,bandwidth,"FIELDALIAS-packets_in","rxPackets_PS as packets_in",global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",system,bandwidth,"FIELDALIAS-packets_out","txPackets_PS as packets_out",global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",system,"bash_history","FIELDALIAS-bhist","_raw AS bash_command",global,"1970-01-01T00:00:00+00:00"
