"Splunk_Instance","Splunk_Roles",title,appName,author,description,"TIME_PREFIX","TIME_FORMAT","MAX_TIMESTAMP_LOOKAHEAD","DATETIME_CONFIG","SHOULD_LINEMERGE","LINE_BREAKER",TRUNCATE,"BREAK_ONLY_BEFORE","BREAK_ONLY_BEFORE_DATE","MUST_BREAK_AFTER","KV_MODE","INDEXED_EXTRACTIONS","EVENT_BREAKER_ENABLE","EVENT_BREAKER","ANNOTATE_PUNCT","LEARN_SOURCETYPE","LEARN_MODEL","MAX_EVENTS",maxDist
CM1,"PROD-CM-1|cluster_master|search_head",audittrail,"Splunk_SA_CIM",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::..._mod(alert|workflow).log","Splunk_SA_CIM",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...datamodelsimple.log","Splunk_SA_CIM",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...modaction_adhoc_rest_handler.log","Splunk_SA_CIM",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...modaction_invocations_rest_handler.log","Splunk_SA_CIM",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...modaction_queue_handler.log","Splunk_SA_CIM",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","source::...relaymodaction.log","Splunk_SA_CIM",system,,,,128,"/etc/datetime.xml",1,,10000,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","splunk_web_access","Splunk_SA_CIM",system,,"\[",,128,"/etc/datetime.xml",0,,99999,"",1,"",,,,,1,1,1,256,28
CM1,"PROD-CM-1|cluster_master|search_head",splunkd,"Splunk_SA_CIM",system,,,"%m-%d-%Y %H:%M:%S.%l %z",40,"/etc/datetime.xml",0,,99999,"",1,"",,,,,1,1,1,256,100
CM1,"PROD-CM-1|cluster_master|search_head","stash_common_action_model","Splunk_SA_CIM",system,,"(?m)^\*{3}Common\sAction\sModel\*{3}.*$",,25,"/etc/datetime.xml",0,"(\r?\n==##~~##~~  1E8N3D4E6V5E7N2T9 ~~##~~##==\r?\n)",0,"",0,"",,,,,1,1,0,256,100
