"Splunk_Instance","Splunk_Roles",app,Lookup,author,sharing,Filename,Type,Collection,updated,disabled,"Match_Type",Replicate,"Allow_Caching",Filter,"Index_Fields_List","Min_Matches","Max_Matches","Fields_List"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cam_action_mode_lookup",system,global,"cam_action_modes.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"action_mode"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cam_action_status_lookup",system,global,"cam_action_statuses.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"action_status"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cam_category_lookup",system,global,"cam_categories.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,category
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cam_subject_lookup",system,global,"cam_subjects.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,subject
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cam_task_lookup",system,global,"cam_tasks.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,task
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cam_worker_lookup",system,global,"cam_workers.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"worker_set,cam_workers"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_access_action_lookup",system,global,"cim_access_actions.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,action
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_cloud_domain_lookup",system,global,"cim_cloud_domains.csv",file,,"1970-01-01T00:00:00+00:00",0,"WILDCARD(domain)",,,,,,1,"domain,registrant,is_email,is_storage"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_corporate_email_domain_lookup",system,global,"cim_corporate_email_domains.csv",file,,"1970-01-01T00:00:00+00:00",0,"WILDCARD(domain)",,,,,,1,domain
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_corporate_web_domain_lookup",system,global,"cim_corporate_web_domains.csv",file,,"1970-01-01T00:00:00+00:00",0,"WILDCARD(domain)",,,,,,1,domain
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_dlp_action_lookup",system,global,"cim_dlp_actions.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,action
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_dlp_object_category_lookup",system,global,"cim_dlp_object_categories.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"object_category"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_dlp_type_lookup",system,global,"cim_dlp_types.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"dlp_type"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_dns_reply_code_lookup",system,global,"cim_dns_reply_codes2.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,1,,"reply_code_id,reply_code"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_email_protocol_lookup",system,global,"cim_email_protocols.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,protocol
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_endpoint_action_lookup",system,global,"cim_endpoint_actions.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,action
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_endpoint_object_category_lookup",system,global,"cim_endpoint_object_categories.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"object_category"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_endpoint_severity_lookup",system,global,"cim_endpoint_severities.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,severity
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_endpoint_status_lookup",system,global,"cim_endpoint_statuses.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,status
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_endpoint_user_type_lookup",system,global,"cim_endpoint_user_types.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"user_type"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_http_method_lookup",system,global,"cim_http_methods.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"http_method,is_visible"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_http_status_lookup",system,global,"cim_http_statuses.csv",file,,"1970-01-01T00:00:00+00:00",0,"WILDCARD(status)",,,,,1,,"status,status_description,status_reference"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_http_tld_lookup",system,global,"cim_http_tld.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,1,tld
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_ids_severity_lookup",system,global,"cim_ids_severities.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,severity
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_ids_type_lookup",system,global,"cim_ids_types.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"ids_type"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_malware_action_lookup",system,global,"cim_malware_actions.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,action
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_traffic_action_lookup",system,global,"cim_traffic_actions.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,action
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_transport_protocol_lookup",system,global,"cim_transport_protocols.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,transport
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_update_status_lookup",system,global,"cim_update_statii.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,status
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_vendor_product_tracker",system,global,"cim_vendor_product_tracker.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"model,vendor_product,firstTime,lastTime"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","cim_vuln_severity_lookup",system,global,"cim_vuln_severities.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,severity
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","splunk_action_lookup",system,global,"splunk_actions.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,1,"vendor_action,action,app"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","splunk_object_category_lookup",system,global,"splunk_object_category.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,1,"vendor_object_category,object_category"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM","splunk_src_lookup",system,global,"splunk_src.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,1,"app,src"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","nix_action_lookup",system,global,"nix_vendor_actions.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"vendor_action,action"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","nix_da_update_status_lookup",system,global,"nix_da_update_status.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"sourcetype,status"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","nix_da_version_range_lookup",system,global,"nix_da_version_ranges.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"sourcetype,range"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","nix_endpoint_change_object_category_lookup",system,global,"nix_object_category.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"object,object_category"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","nix_endpoint_change_status_lookup",system,global,"nix_status.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,1,1,"vendor_status,status"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","nix_endpoint_change_user_type_lookup",system,global,"nix_user_types.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"sourcetype,user_type"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","nix_endpoint_change_vendor_action_lookup",system,global,"nix_endpoint_change_vendor_actions.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"vendor_action,action"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","nix_fs_notification_change_type_lookup",system,global,"nix_fs_notification_change_type.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"sourcetype,change_type"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix","nix_linux_service_startmode_lookup",system,global,"nix_linux_service_startmodes.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"runlevel0,runlevel1,runlevel2,runlevel3,runlevel4,runlevel5,runlevel6,StartMode"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_Use_Case_Arsenal","cis_controls_app_data_lookup",system,global,"cis_controls_app_data.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"id,Use_Case_Name,category,family,description"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_Use_Case_Arsenal","es_data_models_lookup",system,global,"es_data_models.csv",file,,"1970-01-01T00:00:00+00:00",0,,,,,,,,"Data_Model,Dataset_Name,Field_Name,Field_Type,Field_Description"
