"Splunk_Instance","Splunk_Roles",app,sharing,stanza,name,value,author,updated
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM",global,audittrail,action,"case(match(_raw,""action\=login\sattempt"") AND match(_raw,""info\=succeeded""),""success"",match(_raw,""action\=login\sattempt"") AND match(_raw,""info\=failed""),""failure"",match(_raw,""action\=add""),""created"",match(_raw,""action\=delete""),""deleted"",match(_raw,""action\=update""),""modified"",1=1,action)",system,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM",global,audittrail,app,"if(match(_raw,""action\=login\sattempt""),""splunk"",app)",system,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM",global,audittrail,"file_modify_time","strptime(modtime, ""%a %b %d %H:%M:%S %Y"")",system,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM",global,audittrail,user,"if(isnull(user) OR user=""n/a"" OR user="""",user_id,user)",system,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_SA_CIM",global,audittrail,"vendor_status","if(isdir==0 OR isdir==1, ""success"", vendor_status)",system,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"Linux:SELinuxConfig",note,"""SELinux is a Linux feature that provides a variety of security policies, including U.S. Department of Defense style mandatory access controls, through the use of Linux Security Modules""",system,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,"aix_secure",action,"if(app=""su"" AND isnull(action),""success"",action)",system,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,bandwidth,bytes,"(rxKB_PS+txKB_PS)*1024",system,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,bandwidth,"bytes_in","rxKB_PS*1024",system,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,bandwidth,"bytes_out","txKB_PS*1024",system,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,bandwidth,packets,"rxPackets_PS+txPackets_PS",system,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,cpu,"cpu_load_percent","100-pctIdle",system,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,cpu,"cpu_user_percent",pctUser,system,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,df,FreeMBytes,"case(match(Avail, ""P[i]*$""), tonumber(rtrim(Avail, ""Pi""),10)*pow(1024,3), match(Avail, ""T[i]*$""), tonumber(rtrim(Avail,""Ti""),10)*pow(1024,2), match(Avail, ""G[i]*$""), tonumber(rtrim(Avail,""Gi""),10)*pow(1024,1), match(Avail, ""M[i]*$""), tonumber(rtrim(Avail,""Mi""), 10), match(Avail, ""K[i]*$""), tonumber(rtrim(Avail,""Ki""), 10)/1024, match(Avail, ""B[i]*$""), tonumber(rtrim(Avail,""Bi""), 10)/pow(1024,2), 1==1, ""unknown"")",system,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","Splunk_TA_nix",global,df,PercentFreeSpace,"100.0-tonumber(rtrim(UsePct,""%%""),10)",system,"1970-01-01T00:00:00+00:00"
