"Splunk_Instance","Splunk_Roles",title,disabled,Type,app,author,FORMAT,REGEX,DELIMS,"CLEAN_KEYS","DEST_KEY",FIELDS,"MV_ADD","REPEAT_MATCH","SOURCE_KEY","WRITE_META",sharing,updated
CM1,"PROD-CM-1|cluster_master|search_head","app-view_for_splunk_web_access",0,"regex-based","Splunk_SA_CIM",system,"app::$1 view::$2","GET (?:/[^/]+){1,2}/app/([^/ ?]+)/([^/ ?]+)",,1,"",,0,,"_raw",False,global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","cim_email_domain",0,"regex-based","Splunk_SA_CIM",system,"email_domain::$1",".*@(.+)",,1,"",,0,,email,False,global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","cim_recipient_domain",0,"regex-based","Splunk_SA_CIM",system,"recipient_domain::$1",".*@(.+)",,1,"",,0,,recipient,False,global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","cim_src_user_domain",0,"regex-based","Splunk_SA_CIM",system,"src_user_domain::$1",".*@(.+)",,1,"",,0,,"src_user",False,global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","cim_ssl_issuer_common_name",0,"regex-based","Splunk_SA_CIM",system,"ssl_issuer_common_name::$1","CN\s*=(.*?)(?=[,;/]\s*(?:[A-Z]+|emailAddress)\s*=|$)",,1,"",,0,,"ssl_issuer",False,global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","cim_ssl_issuer_country",0,"regex-based","Splunk_SA_CIM",system,"ssl_issuer_country::$1","C\s*=(.*?)(?=[,;/]\s*(?:[A-Z]+|emailAddress)\s*=|$)",,1,"",,0,,"ssl_issuer",False,global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","cim_ssl_issuer_email",0,"regex-based","Splunk_SA_CIM",system,"ssl_issuer_email::$1","(?:E|emailAddress)\s*=(.*?)(?=[,;/]\s*(?:[A-Z]+|emailAddress)\s*=|$)",,1,"",,0,,"ssl_issuer",False,global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","cim_ssl_issuer_locality",0,"regex-based","Splunk_SA_CIM",system,"ssl_issuer_locality::$1","L\s*=(.*?)(?=[,;/]\s*(?:[A-Z]+|emailAddress)\s*=|$)",,1,"",,0,,"ssl_issuer",False,global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","cim_ssl_issuer_organization",0,"regex-based","Splunk_SA_CIM",system,"ssl_issuer_organization::$1","O\s*=(.*?)(?=[,;/]\s*(?:[A-Z]+|emailAddress)\s*=|$)",,1,"",,0,,"ssl_issuer",False,global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","cim_ssl_issuer_state",0,"regex-based","Splunk_SA_CIM",system,"ssl_issuer_state::$1","ST\s*=(.*?)(?=[,;/]\s*(?:[A-Z]+|emailAddress)\s*=|$)",,1,"",,0,,"_raw",False,global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","cim_ssl_issuer_street",0,"regex-based","Splunk_SA_CIM",system,"ssl_issuer_street::$1","STREET\s*=(.*?)(?=[,;/]\s*(?:[A-Z]+|emailAddress)\s*=|$)",,1,"",,0,,"ssl_issuer",False,global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","cim_ssl_issuer_unit",0,"regex-based","Splunk_SA_CIM",system,"ssl_issuer_unit::$1","OU\s*=(.*?)(?=[,;/]\s*(?:[A-Z]+|emailAddress)\s*=|$)",,1,"",,0,,"ssl_issuer",False,global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","cim_ssl_subject_common_name",0,"regex-based","Splunk_SA_CIM",system,"ssl_subject_common_name::$1","CN\s*=(.*?)(?=[,;/]\s*(?:[A-Z]+|emailAddress)\s*=|$)",,1,"",,0,,"ssl_subject",False,global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","cim_ssl_subject_country",0,"regex-based","Splunk_SA_CIM",system,"ssl_subject_country::$1","C\s*=(.*?)(?=[,;/]\s*(?:[A-Z]+|emailAddress)\s*=|$)",,1,"",,0,,"ssl_subject",False,global,"1970-01-01T00:00:00+00:00"
CM1,"PROD-CM-1|cluster_master|search_head","cim_ssl_subject_email",0,"regex-based","Splunk_SA_CIM",system,"ssl_subject_email::$1","(?:E|emailAddress)\s*=(.*?)(?=[,;/]\s*(?:[A-Z]+|emailAddress)\s*=|$)",,1,"",,0,,"ssl_subject",False,global,"1970-01-01T00:00:00+00:00"
